57,Todd Goldstein,Kangaroos,760000,678000,95,14,88.36,Ruck,1,0,0,0,1,0
57,Shaun Higgins,Kangaroos,728000,681000,95,14,95.29,Midfield,1,1,0,0,0,0
57,Luke Shuey,Eagles,657000,634000,95,15,101.67,Midfield,1,1,0,0,0,0
57,Jarrod Witts,Suns,615000,681000,95,14,104.41,Ruck,1,0,0,0,1,0
63,Dayne Zorko,Lions,753000,701000,94,13.4,104.21,Forward,1,0,1,0,0,0
63,Zak Jones,Swans,708000,499000,94,18.8,82.82,Midfield,1,1,0,0,0,0
63,Luke Parker,Swans,809000,694000,94,13.5,98.5,Midfield,1,1,0,0,0,0
63,Jared Polec,Kangaroos,686000,669000,94,14.1,88.18,Midfield,1,1,0,0,0,0
63,Jack Gunston,Hawks,583000,629000,94,14.9,76.1,Forward,1,0,1,0,0,0
68,Devon Smith,Bombers,676000,774000,93,12,79.43,Midfield,1,1,0,0,0,0
68,Ryan Burton,Power,485000,450000,93,20.7,72.19,Defender,1,0,0,1,0,0
68,Gary Ablett,Cats,534000,754000,93,12.3,86.08,Forward,1,0,1,0,0,0
71,Kade Simpson,Blues,533000,692000,92,13.3,80.22,Defender,1,0,0,1,0,0
71,Jack Lonie,Saints,518000,486000,92,18.9,66.38,Forward,1,0,1,0,0,0
71,Tom Papley,Swans,556000,452000,92,20.4,77.32,Forward,1,0,1,0,0,0
71,Hugh McCluggage,Lions,708000,563000,92,16.3,91.39,Midfield,1,1,0,0,0,0
71,Jack Watts,Power,448000,460000,92,20,0,Defender,1,0,0,1,0,0
76,James Harmes,Demons,474000,603000,91,15.1,93.95,Defender,1,0,0,1,0,0
76,Touk Miller,Suns,770000,624000,91,14.6,90.94,Midfield,1,1,0,0,0,0
76,Elliot Yeo,Eagles,679000,775000,91,11.7,101.43,Midfield,1,1,0,0,0,0
76,Lachie Neale,Lions,935000,727000,91,12.5,103.54,Midfield,1,1,0,0,0,0
76,Matthew Taberner,Dockers,560000,485000,91,18.8,86.44,Forward,1,0,1,0,0,0
81,Dale Thomas,Blues,571000,622000,90,14.5,79.55,Defender,1,0,0,1,0,0
81,Dayne Beams,Magpies,762000,768000,90,11.7,88.67,Midfield,1,1,0,0,0,0
81,Jack Newnes,Saints,546000,481000,90,18.7,69.7,Forward,1,0,1,0,0,0
