1,Tom Rockliff,Power,873000 ,600000 ,166,27.7,99.33
2,Stephen Coniglio,Giants,744000 ,801000 ,161,20.1,103.67
3,Rory Sloane,Crows,580000 ,653000 ,144,22.1,99.59
3,Travis Boak,Power,799000 ,633000 ,144,22.7,105.67
5,Tim Taranto,Giants,718000 ,660000 ,137,20.8,111.31
6,Dominic Sheed,Eagles,675000 ,539000 ,133,24.7,92.96
7,Matt Crouch,Crows,844000 ,761000 ,132,17.3,106.16
8,Marcus Bontempelli,Bulldogs,801000 ,671000 ,128,19.1,103.22
8,Christian Salem,Demons,680000 ,576000 ,128,22.2,89.6
10,Jake Lloyd,Swans,873000 ,738000 ,126,17.1,107.09
11,Adam Treloar,Magpies,812000 ,787000 ,125,15.9,112.04
12,Justin Westhoff,Power,452000 ,740000 ,120,16.2,77.25
13,Jamie MacMillan,Kangaroos,456000 ,530000 ,118,22.3,75.06
14,Toby Nankervis,Tigers,556000 ,648000 ,115,17.7,73.25
14,Nic Newman,Blues,542000 ,552000 ,115,20.8,93.35
16,Brayden Fiorini,Suns,647000 ,665000 ,114,17.1,99.71
17,Bradley Hill,Dockers,557000 ,587000 ,113,19.3,88.68
17,Edward Curnow,Blues,739000 ,728000 ,113,15.5,89.86
19,Kane Lambert,Tigers,598000 ,589000 ,112,19,85.62
19,Lachlan Hunter,Bulldogs,882000 ,765000 ,112,14.6,97.83
21,Darcy Tucker,Dockers,525000 ,431000 ,111,25.8,72.59
21,Jack Steele,Saints,867000 ,685000 ,111,16.2,96.15
23,Lachie Whitfield,Giants,820000 ,726000 ,109,15,107.58
23,Brad Ebert,Power,536000 ,645000 ,109,16.9,80.09
23,Brad Crouch,Crows,708000 ,524000 ,109,20.8,107.86
23,Cameron McCarthy,Dockers,417000 ,356000 ,109,30.6,56.33
27,Jacob Hopper,Giants,673000 ,568000 ,108,19,92.35
27,Tim Kelly,Cats,730000 ,630000 ,108,17.1,99
29,Ed Langdon,Dockers,696000 ,645000 ,107,16.6,92.09
29,Dyson Heppell,Bombers,566000 ,738000 ,107,14.5,94.5
29,Trent Cotchin,Tigers,634000 ,581000 ,107,18.4,69.64
29,Jackson Macrae,Bulldogs,860000 ,890000 ,107,12,116.22
33,James Sicily,Hawks,663000 ,694000 ,106,15.3,83.64
33,Jaeger O'Meara,Hawks,724000 ,695000 ,106,15.3,99.62
33,Jack Graham,Tigers,557000 ,477000 ,106,22.2,78.94
36,Callum Sinclair,Swans,577000 ,673000 ,105,15.6,76.57
37,Nathan Fyfe,Dockers,720000 ,741000 ,103,13.9,104.95
37,Rory Laird,Crows,763000 ,782000 ,103,13.2,96.91
37,Patrick Dangerfield,Cats,780000 ,771000 ,103,13.4,105.79
37,Wil Powell,Suns,476000 ,267000 ,103,38.6,54.92
41,Thomas Stewart,Cats,736000 ,579000 ,102,17.6,93.24
41,Bachar Houli,Tigers,764000 ,536000 ,102,19,102.32
43,Ben McEvoy,Hawks,477000 ,628000 ,101,16.1,83.32
43,Daniel Rich,Lions,644000 ,519000 ,101,19.5,86.92
43,Patrick Cripps,Blues,718000 ,793000 ,101,12.7,101.45
43,James Worpel,Hawks,737000 ,480000 ,101,21,96.73
47,Joel Selwood,Cats,596000 ,732000 ,100,13.7,81.78
47,Angus Brayshaw,Demons,603000 ,763000 ,100,13.1,88.05
49,Luke Dahlhaus,Cats,506000 ,570000 ,98,17.2,74.71
49,James Cousins,Hawks,575000 ,329000 ,98,29.8,73.33
51,Rory Atkins,Crows,510000 ,578000 ,97,16.8,81.4
51,Marc Murphy,Blues,634000 ,705000 ,97,13.8,95.89
51,Bailey Scott,Kangaroos,453000 ,174000 ,97,55.7,0
54,Jarryd Lyons,Lions,817000 ,689000 ,96,13.9,97.42
54,Darcy Macpherson,Suns,457000 ,440000 ,96,21.8,87.27
54,Anthony Miles,Suns,634000 ,425000 ,96,22.6,85.35
57,Josh Kennedy,Swans,776000 ,654000 ,95,14.5,0
57,Mitchell Duncan,Cats,809000 ,739000 ,95,12.9,103.26
57,Todd Goldstein,Kangaroos,760000 ,678000 ,95,14,88.36
57,Shaun Higgins,Kangaroos,728000 ,681000 ,95,14,95.29
57,Luke Shuey,Eagles,657000 ,634000 ,95,15,101.67
57,Jarrod Witts,Suns,615000 ,681000 ,95,14,104.41
63,Dayne Zorko,Lions,753000 ,701000 ,94,13.4,104.21
63,Zak Jones,Swans,708000 ,499000 ,94,18.8,82.82
63,Luke Parker,Swans,809000 ,694000 ,94,13.5,98.5
63,Jared Polec,Kangaroos,686000 ,669000 ,94,14.1,88.18
63,Jack Gunston,Hawks,583000 ,629000 ,94,14.9,76.1
68,Devon Smith,Bombers,676000 ,774000 ,93,12,79.43
68,Ryan Burton,Power,485000 ,450000 ,93,20.7,72.19
68,Gary Ablett,Cats,534000 ,754000 ,93,12.3,86.08
71,Kade Simpson,Blues,533000 ,692000 ,92,13.3,80.22
71,Jack Lonie,Saints,518000 ,486000 ,92,18.9,66.38
71,Tom Papley,Swans,556000 ,452000 ,92,20.4,77.32
71,Hugh McCluggage,Lions,708000 ,563000 ,92,16.3,91.39
71,Jack Watts,Power,448000 ,460000 ,92,20,0
76,James Harmes,Demons,474000 ,603000 ,91,15.1,93.95
76,Touk Miller,Suns,770000 ,624000 ,91,14.6,90.94
76,Elliot Yeo,Eagles,679000 ,775000 ,91,11.7,101.43
76,Lachie Neale,Lions,935000 ,727000 ,91,12.5,103.54
76,Matthew Taberner,Dockers,560000 ,485000 ,91,18.8,86.44
81,Dale Thomas,Blues,571000 ,622000 ,90,14.5,79.55
81,Dayne Beams,Magpies,762000 ,768000 ,90,11.7,88.67
81,Jack Newnes,Saints,546000 ,481000 ,90,18.7,69.7
81,Scott Pendlebury,Magpies,805000 ,738000 ,90,12.2,104.21
81,Jack Steven,Saints,652000 ,702000 ,90,12.8,76
86,Charlie Ballard,Suns,397000 ,315000 ,89,28.3,54.48
87,Adam Tomlinson,Giants,493000 ,539000 ,88,16.3,74.84
87,Jarrod Berry,Lions,680000 ,559000 ,88,15.7,80.15
87,Blake Hardwick,Hawks,451000 ,469000 ,88,18.8,72.27
87,Tom Phillips,Magpies,602000 ,693000 ,88,12.7,91.33
91,Jack Bowes,Suns,608000 ,463000 ,87,18.8,71.47
91,Wayne Milera,Crows,446000 ,546000 ,87,15.9,76.82
91,Jack Redden,Eagles,554000 ,698000 ,87,12.5,91.65
91,Ricky Henderson,Hawks,570000 ,610000 ,87,14.3,96.64
91,Thomas Liberatore,Bulldogs,675000 ,392000 ,87,22.2,76
91,Sam Walsh,Blues,739000 ,270000 ,87,32.2,92.23
97,Willem Drew,Power,361000 ,170000 ,86,50.6,67.6
97,Christopher Mayne,Magpies,539000 ,522000 ,86,16.5,76.33
99,Bradley Sheppard,Eagles,672000 ,541000 ,85,15.7,81.29
99,Isaac Heeney,Swans,603000 ,658000 ,85,12.9,89.77
99,Luke Dunstan,Saints,716000 ,599000 ,85,14.2,85.83
99,Rhys Stanley,Cats,573000 ,590000 ,85,14.4,80.5
99,James Aish,Magpies,588000 ,501000 ,85,17,65.57
104,Jack Sinclair,Saints,541000 ,538000 ,84,15.6,66.36
104,Andrew McGrath,Bombers,738000 ,518000 ,84,16.2,75.83
104,Mitchell Wallis,Bulldogs,450000 ,595000 ,84,14.1,79.3
104,Jack Billings,Saints,715000 ,618000 ,84,13.6,98.55
104,Brandan Parfitt,Cats,654000 ,550000 ,84,15.3,72
104,Steele Sidebottom,Magpies,841000 ,750000 ,84,11.2,99.87
104,Isaac Smith,Hawks,618000 ,647000 ,84,13,84.95
104,David Zaharakis,Bombers,524000 ,704000 ,84,11.9,79.5
104,Dane Rampe,Swans,501000 ,474000 ,84,17.7,79.43
104,Brodie Grundy,Magpies,867000 ,871000 ,84,9.6,124.17
104,Zac Fisher,Blues,480000 ,504000 ,84,16.7,63.19
104,Brent Daniels,Giants,454000 ,276000 ,84,30.4,60.73
116,Andrew Phillips,Blues,522000 ,355000 ,83,23.4,80.4
116,Alex Witherden,Lions,654000 ,639000 ,83,13,73.35
116,Aaron Hall,Kangaroos,583000 ,626000 ,83,13.3,80.67
116,Lachlan Schultz,Dockers,481000 ,170000 ,83,48.8,47.43
116,Jack Higgins,Tigers,563000 ,448000 ,83,18.5,67
116,Matthew Parker,Saints,355000 ,178000 ,83,46.6,53.12
116,David Cuningham,Blues,481000 ,391000 ,83,21.2,66.33
116,Jayden Short,Tigers,694000 ,551000 ,83,15.1,68.93
124,Sebastian Ross,Saints,565000 ,779000 ,82,10.5,94.32
124,Harry Cunningham,Swans,554000 ,544000 ,82,15.1,80.67
124,Michael Walters,Dockers,698000 ,581000 ,82,14.1,93.45
124,Sam Lloyd,Bulldogs,425000 ,450000 ,82,18.2,76.35
124,Charlie Constable,Cats,484000 ,170000 ,82,48.2,83.43
129,Jake Melksham,Demons,415000 ,510000 ,81,15.9,74.75
129,Kyle Langford,Bombers,655000 ,582000 ,81,13.9,69.39
129,Sam Petrevski-Seton,Blues,516000 ,508000 ,81,15.9,77.73
129,Trent Dumont,Kangaroos,748000 ,598000 ,81,13.5,88.1
129,Sam Menegola,Cats,783000 ,716000 ,81,11.3,76.33
129,Dustin Martin,Tigers,713000 ,674000 ,81,12,95.61
