Steven May,,584000,Defender,
Jack Gunston,,583000,Forward,
Aaron Hall,,583000,Forward,
Robbie Gray,,583000,Forward,
Rory Sloane,,580000,Midfield,
Hamish Hartlett,,579000,Defender,
Callum Sinclair,,577000,Ruck,
Tom Cutler,,576000,Midfield,
Michael Hurley,,576000,Defender,
Oliver Florent,,576000,Midfield,
Mark Blicavs,,575000,Defender,
James Cousins,,575000,Midfield,
Dan Butler,,575000,Forward,
Paddy Ryder,,575000,Ruck,
Matt Rowell,,574000,Midfield,
Rhys Stanley,,573000,Ruck,
Jonathon Ceglar,,573000,Ruck,
Ryan Clarke,,572000,Midfield,
Matthew Kennedy,,570000,Midfield,
Stefan Martin,,570000,Ruck,
Will Day,,569000,Defender,
Patrick Lipinski,,569000,Midfield,
Dyson Heppell,,566000,Midfield,
Sebastian Ross,,565000,Midfield,
Jack Higgins,,563000,Forward,
Noah Anderson,,562000,Midfield,
Charlie Dixon,,561000,Forward,
Matt Taberner,,560000,Forward,
Peter Ladhams,,560000,Ruck,
Hayden Crozier,,560000,Defender,
Sam Naismith,,559000,Ruck,
Sam Powell-Pepper,,558000,Midfield,
Jack Scrimshaw,,557000,Defender,
Robbie Tarrant,,557000,Defender,
Jack Graham,,557000,Midfield,
Bradley Hill,,557000,Midfield,
Toby Nankervis,,556000,Ruck,
Tom Papley,,556000,Forward,
Jackson Nelson,,556000,Defender,
Harry Cunningham,,554000,Defender,
Jack Redden,,554000,Midfield,
Bayley Fritsch,,553000,Forward,
Mitch Robinson,,550000,Midfield,
Oscar McInerney,,550000,Ruck,
Quinton Narkle,,550000,Midfield,
Michael Hibberd,,550000,Defender,
Liam Baker,,550000,Defender,
Reece Conca,,548000,Defender,
Tom Doedee,,547000,Defender,
Jack Newnes,,546000,Midfield,
Jamie Elliott,,545000,Midfield,
Brett Bewley,,545000,Midfield,
Nic Newman,,542000,Defender,
Rory Lobb,,542000,Ruck,
Jack Sinclair,,541000,Midfield,
Jeremy McGovern,,541000,Defender,
Chris Mayne,,539000,Midfield,
Xavier Duursma,,539000,Midfield,
