Chol Mabior,FWD,0,0,170000
Aarts Jake,FWD,0,0,170000
English Luke,MID,0,0,170000
Turner Fraser,MID,0,0,170000
Gawn Max,RUC,111.32,22,808000
Oliver Clayton,MID,109.09,22,792000
Brayshaw Angus,MID,105.11,19,763000
McDonald Tom,FWD,90.06,17,654000
Jones Nathan,MID,87.05,22,632000
Viney Jack,MID,91.43,7,604000
Harmes James,MID,83.05,22,603000
Petracca Christian,MID/FWD,80.67,21,585000
Kolodjashnij Kade,DEF,67.5,8,585000
Salem Christian,DEF,79.38,21,576000
Lewis Jordan,DEF,79.29,21,575000
Neal-Bullen Alex,FWD,77.91,22,565000
May Steven,DEF,75.53,17,548000
Fritsch Bayley,MID,74.48,21,540000
Melksham Jake,FWD,70.25,20,510000
Hibberd Michael,DEF,68.78,18,499000
Hunt Jayden,DEF,46.83,6,463000
Hannan Mitch,FWD,59.92,12,435000
Lever Jake,DEF,59.82,11,434000
Smith Timothy,FWD,72.75,4,433000
Spargo Charlie,FWD,59,15,428000
Garlett Jeff,FWD,59,11,428000
Maynard Corey,MID,62,1,425000
Stretch Billy,MID,75.5,2,416000
Kennedy Harris Jay,MID,63.67,6,407000
vandenBerg Aaron,MID/FWD,68,4,405000
Jetta Neville,DEF,50.68,22,368000
Smith Joel,DEF,55.29,7,365000
Wagner Josh,DEF,57.2,5,356000
Frost Sam,DEF,48.7,10,353000
Weideman Sam,FWD,52.71,7,348000
Preuss Braydon,RUC,0,0,342000
McDonald Oscar,DEF,43.86,22,318000
Petty Harrison,DEF,44,1,239000
Sparrow Tom,MID,0,0,218000
Jordon James,DEF/MID,0,0,206000
Keilty Declan,DEF,0,0,170000
Walker Guy,DEF/FWD,0,0,170000
Baker Oskar,MID,0,0,170000
Bradtke Austin,RUC,0,0,170000
Hore Marty,DEF,0,0,170000
Nietschke Aaron,MID,0,0,170000
Chandler Kade,MID,0,0,170000
Bedford Toby,MID/FWD,0,0,170000
Wagner Corey,MID,0,0,170000
Mitchell Tom,MID,129.18,22,938000
Shiels Liam,MID,97,21,704000
O'Meara Jaeger,MID,95.75,20,695000
Sicily James,DEF,95.57,14,694000
Smith Isaac,MID,89.09,22,647000
Gunston Jack,FWD,86.67,21,629000
McEvoy Ben,RUC,86.59,17,628000
Breust Luke,FWD,84.45,22,613000
Henderson Ricky,MID,84.1,20,610000
Wingard Chad,MID/FWD,82.33,21,598000
Burgoyne Shaun,MID,78.67,15,571000
Howe Daniel,MID,77.2,15,560000
Roughead Jarryd,FWD,73.35,20,532000
Impey Jarman,DEF/FWD,69.95,22,508000
Morrison Harry,MID/FWD,66.21,19,481000
Worpel James,MID/FWD,68.22,9,480000
Hardwick Blake,DEF,64.64,22,469000
Miles Teia,DEF,66.88,8,456000
Ceglar Jonathon,RUC/FWD,62.9,10,456000
Scully Tom,MID,23,1,446000
Puopolo Paul,FWD,59.28,18,430000
Frawley James,DEF,54.28,18,394000
Mirra David,DEF,60.17,6,384000
Stratton Ben,DEF,49.91,22,362000
Brand Kaiden,DEF,49.8,10,361000
Schoenmakers Ryan,FWD,47.75,8,361000
O'Brien Tim,FWD,48.5,12,352000
Birchall Grant,DEF,0,0,350000
Nash Conor,FWD,60.33,3,346000
Cousins James,MID,50.5,4,329000
Minchington Darren,MID,0,0,324000
Glass Conor,DEF,47.5,4,315000
Pittonet Marc,RUC,52.5,2,290000
Mohr Tim,DEF,42.5,2,234000
Scrimshaw Jack,DEF,0,0,203000
Lewis Mitch,FWD,25.5,2,170000
Jiath Changkuoth,DEF,0,0,170000
