name,value,price,position,club
Bryce Gibbs,80.83,753000,,Adeliade Crows
Harry Cunningham,80.67,544000,,Sydney Swans
Aaron Hall,80.67,626000,,North Melbourne Kangaroos
David Mundy,80.55,652000,,Fremantle Dockers
Nick Haynes,80.52,525000,,Greater Western Sydney Giants
Rhys Stanley,80.5,590000,,Geelong Cats
Brandon Ellis,80.43,538000,,Richmond Tigers
Jarrod Lienert,80.43,470000,,Port Adelaide Power
Sam Jacobs,80.4,591000,,Adeliade Crows
Andrew Phillips,80.4,355000,,Carlton Blues
Dan Houston,80.33,522000,,Port Adelaide Power
Kade Simpson,80.22,692000,,Carlton Blues
Jarrod Berry,80.15,559000,,Brisbane Lions
Brad Ebert,80.09,645000,,Port Adelaide Power
Luke Ryan,80.06,558000,,Fremantle Dockers
Jordan De Goey,79.94,594000,,Collingwood Magpies
Dale Thomas,79.55,622000,,Carlton Blues
David Zaharakis,79.5,704000,,Essendon Bombers
Darcy Parish,79.43,542000,,Essendon Bombers
Dane Rampe,79.43,474000,,Sydney Swans
Devon Smith,79.43,774000,,Essendon Bombers
Rory Lobb,79.33,485000,,Fremantle Dockers
Mitchell Wallis,79.3,595000,,Western Bulldogs
Nick Vlastuin,78.96,531000,,Richmond Tigers
Jack Graham,78.94,477000,,Richmond Tigers
Jed Anderson,78.71,552000,,North Melbourne Kangaroos
Timothy English,78.5,446000,,Western Bulldogs
Chad Wingard,78.43,598000,,Hawthorn Hawks
Shane Savage,78.32,593000,,St Kilda Saints
Hugh Greenwood,78.29,597000,,Adeliade Crows
Xavier Duursma,78.25,236000,,Port Adelaide Power
Nicholas Naitanui,78,583000,,West Coast Eagles
Sam Petrevski-Seton,77.73,508000,,Carlton Blues
Brayden Maynard,77.62,541000,,Collingwood Magpies
Michael Hurley,77.42,608000,,Essendon Bombers
Harry Perryman,77.37,379000,,Greater Western Sydney Giants
Hunter Clark,77.36,421000,,St Kilda Saints
Tom Papley,77.32,452000,,Sydney Swans
Justin Westhoff,77.25,740000,,Port Adelaide Power
Cameron Guthrie,77.15,441000,,Geelong Cats
Taylor Duryea,76.93,448000,,Western Bulldogs
Wayne Milera,76.82,546000,,Adeliade Crows
Callum Sinclair,76.57,673000,,Sydney Swans
Pearce Hanley,76.44,414000,,Gold Coast Suns
Hamish Hartlett,76.36,534000,,Port Adelaide Power
Sam Lloyd,76.35,450000,,Western Bulldogs
Karl Amon,76.35,454000,,Port Adelaide Power
Christopher Mayne,76.33,522000,,Collingwood Magpies
Sam Menegola,76.33,716000,,Geelong Cats
Jack Gunston,76.1,629000,,Hawthorn Hawks
Thomas Liberatore,76,392000,,Western Bulldogs
Jack Steven,76,702000,,St Kilda Saints
Christian Petracca,75.91,585000,,Melbourne Demons
Andrew McGrath,75.83,518000,,Essendon Bombers
Jonathon Ceglar,75.73,456000,,Hawthorn Hawks
Callum Mills,75.32,522000,,Sydney Swans
Shane Edwards,75.29,482000,,Richmond Tigers
George Hewett,75.27,478000,,Sydney Swans
Sam Powell-Pepper,75.26,544000,,Port Adelaide Power
Josh Jenkins,75.09,561000,,Adeliade Crows
Jamie MacMillan,75.06,530000,,North Melbourne Kangaroos
Adam Tomlinson,74.84,539000,,Greater Western Sydney Giants
Connor Blakely,74.79,664000,,Fremantle Dockers
Jake Melksham,74.75,510000,,Melbourne Demons
Reece Conca,74.73,538000,,Fremantle Dockers
Luke Dahlhaus,74.71,570000,,Geelong Cats
Matthew Broadbent,74.6,351000,,Port Adelaide Power
Sam Gray,74.5,487000,,Port Adelaide Power
Bayley Fritsch,74.23,540000,,Melbourne Demons
Nathan Jones,73.64,632000,,Melbourne Demons
Alex Witherden,73.35,639000,,Brisbane Lions
Jeremy Howe,73.33,597000,,Collingwood Magpies
James Cousins,73.33,329000,,Hawthorn Hawks
Toby Nankervis,73.25,648000,,Richmond Tigers
Will Hoskin-Elliott,72.95,486000,,Collingwood Magpies
Paul Seedsman,72.77,577000,,Adeliade Crows
Jacob Dawson,72.67,292000,,Gold Coast Suns
Aaron Sandilands,72.67,554000,,Fremantle Dockers
Connor Rozee,72.59,262000,,Port Adelaide Power
Darcy Tucker,72.59,431000,,Fremantle Dockers
Rupert Wills,72.56,325000,,Collingwood Magpies
Sydney Stack,72.29,,,Richmond Tigers
Blake Hardwick,72.27,469000,,Hawthorn Hawks
Ryan Burton,72.19,450000,,Port Adelaide Power
Brandan Parfitt,72,550000,,Geelong Cats
Brett Deledio,72,559000,,Greater Western Sydney Giants
Ben Brown,71.91,493000,,North Melbourne Kangaroos
Riley Knight,71.73,461000,,Adeliade Crows
Jack Bowes,71.47,463000,,Gold Coast Suns
Jasper Pittard,71.45,515000,,North Melbourne Kangaroos
Jarman Impey,71.35,508000,,Hawthorn Hawks
Jack Darling,71.25,557000,,West Coast Eagles
Josh Caddy,71.17,576000,,Richmond Tigers
Ivan Soldo,71.14,359000,,Richmond Tigers
Tom Bellchambers,71.12,577000,,Essendon Bombers
Hayden Crozier,71.09,535000,,Western Bulldogs
Cale Hooker,70.94,510000,,Essendon Bombers
Shaun Burgoyne,70.72,571000,,Hawthorn Hawks
Jarrod Harbrow,70.71,567000,,Gold Coast Suns
Tim Membrey,70.5,499000,,St Kilda Saints
Lance Franklin,70.5,666000,,Sydney Swans
Lewis Taylor,70.4,524000,,Brisbane Lions
Brody Mihocek,70.38,462000,,Collingwood Magpies
Zach Tuohy,70.28,586000,,Geelong Cats
Patrick Ryder,70.24,543000,,Port Adelaide Power
Tom Hawkins,70.21,639000,,Geelong Cats
Conor McKenna,70.14,472000,,Essendon Bombers
Jamie Elliott,69.75,385000,,Collingwood Magpies
Jack Newnes,69.7,481000,,St Kilda Saints
Billy Stretch,69.67,416000,,Melbourne Demons
Trent Cotchin,69.64,581000,,Richmond Tigers
Andrew Brayshaw,69.55,485000,,Fremantle Dockers
Kyle Langford,69.39,582000,,Essendon Bombers
Oliver Florent,69.33,458000,,Sydney Swans
Sam Reid,69.32,435000,,Sydney Swans
Jason Castagna,69.08,400000,,Richmond Tigers
Jayden Short,68.93,551000,,Richmond Tigers
Mason Redman,68.85,450000,,Essendon Bombers
Quinton Narkle,68.83,320000,,Geelong Cats
Sean Darcy,68.82,552000,,Fremantle Dockers
Bailey Smith,68.78,258000,,Western Bulldogs
Luke Hodge,68.45,563000,,Brisbane Lions
Josh Battle,68.42,304000,,St Kilda Saints
Peter Wright,68.35,459000,,Gold Coast Suns
Jeremy McGovern,68.22,485000,,West Coast Eagles
Luke Breust,68.18,613000,,Hawthorn Hawks
Jordan Ridley,68,310000,,Essendon Bombers
Jarryn Geary,67.8,515000,,St Kilda Saints
Jeremy Finlayson,67.74,419000,,Greater Western Sydney Giants
Willem Drew,67.6,170000,,Port Adelaide Power
Adam Saad,67.59,429000,,Essendon Bombers
Jackson Hately,67.57,244000,,Greater Western Sydney Giants
Blake Acres,67.47,584000,,St Kilda Saints
Daniel Howe,67.42,560000,,Hawthorn Hawks
John Noble,67.4,,,Collingwood Magpies
Tom Hickey,67.35,547000,,West Coast Eagles
Alex Keath,67.11,359000,,Adeliade Crows
Will Setterfield,67.11,251000,,Carlton Blues
Jake Kelly,67,464000,,Adeliade Crows
Riley Bonner,67,438000,,Port Adelaide Power
Toby McLean,67,686000,,Western Bulldogs
Jack Higgins,67,448000,,Richmond Tigers
Shaun Atley,66.76,446000,,North Melbourne Kangaroos
Jy Simpkin,66.76,432000,,North Melbourne Kangaroos
Matthew De Boer,66.74,569000,,Greater Western Sydney Giants
