1,Max Gawn,Melbourne,14,98.93
2,Lachie Neale,Brisbane,19,96.26
3,Lachlan Hunter,Western Bulldogs,10,92.60
4,Zachary Merrett,Essendon,16,92.56
5,Clayton Oliver,Melbourne,17,91.71
6,Jake Lloyd,Sydney,17,91.47
7,Steele Sidebottom,Collingwood,9,90.89
8,Taylor Adams,Collingwood,19,90.58
9,Tom Rockliff,Port Adelaide,16,90.31
10,Jack Steele,St Kilda,19,90.16
11,Jackson Macrae,Western Bulldogs,18,89.61
12,Mitchell Duncan,Geelong,20,88.70
13,Matt Crouch,Adelaide,16,88.38
14,Brodie Grundy,Collingwood,19,87.89
15,Andrew Gaff,West Coast,18,86.89
16,Reilly O'Brien,Adelaide,17,86.76
17,Christian Petracca,Melbourne,17,86.41
18,Lachie Whitfield,GWS,17,86.35
19,Tom Mitchell,Hawthorn,17,86.18
20,Luke Parker,Sydney,17,84.82
21,Joshua Kelly,GWS,14,84.79
22,Jarryd Lyons,Brisbane,19,84.05
23,Marcus Bontempelli,Western Bulldogs,18,83.78
24,Cameron Guthrie,Geelong,21,83.71
25,Jed Anderson,North Melbourne,15,83.27
26,Adam Treloar,Collingwood,10,83.10
27,Travis Boak,Port Adelaide,19,83.05
28,Dylan Shiel,Essendon,15,81.67
28,Josh P. Kennedy,Sydney,12,81.67
30,Sam Menegola,Geelong,21,80.71
31,Touk Miller,Gold Coast,17,80.59
32,Rory Laird,Adelaide,17,79.94
33,Patrick Dangerfield,Geelong,21,79.90
34,Scott Pendlebury,Collingwood,15,79.73
35,Todd Goldstein,North Melbourne,17,79.59
36,Trent Dumont,North Melbourne,17,78.35
37,Stephen Coniglio,GWS,16,78.00
38,Alex Witherden,Brisbane,6,77.83
39,Dayne Zorko,Brisbane,17,77.53
40,Edward Curnow,Carlton,17,77.41
41,Sam Walsh,Carlton,17,77.35
42,Andrew McGrath,Essendon,14,77.29
43,James Worpel,Hawthorn,15,77.20
44,Hugh Greenwood,Gold Coast,17,77.18
45,Oliver Wines,Port Adelaide,17,77.12
46,Josh Dunkley,Western Bulldogs,12,77.08
47,Thomas Stewart,Geelong,18,77.06
48,Rowan Marshall,St Kilda,19,76.89
49,Andrew Brayshaw,Fremantle,17,76.41
