Ben Jarvis,DEF,0,0,170000
Bradley Close,MID/FWD,0,0,170000
Oscar Brownless,FWD,0,0,170000
Brodie Grundy,RUC,122.1,22,906000
Adam Treloar,MID,113.1,22,839000
Scott Pendlebury,MID,103.6,22,769000
Dayne Beams,MID,88.7,9,762000
Steele Sidebottom,MID,98.5,21,731000
Jack Crisp,DEF,97.7,22,725000
Taylor Adams,MID,95.1,10,706000
Tom Phillips,MID,90.5,22,672000
Jordan De Goey,FWD,84.3,16,626000
Jaidyn Stephenson,FWD,80.7,12,599000
Chris Mayne,MID,77.8,19,577000
Brayden Maynard,DEF,76.8,22,570000
Will Hoskin-Elliott,FWD,75.4,17,559000
Brody Mihocek,FWD,72.8,22,540000
Tom Langdon,DEF,65.1,9,532000
Jeremy Howe,DEF,69.4,19,515000
Jamie Elliott,FWD,67.6,14,502000
Matthew Scharenberg,DEF,51.6,7,495000
Brayden Sier,MID,50.7,6,493000
Callum L. Brown,FWD,65.2,20,484000
Levi Greenwood,DEF,63.5,16,471000
Rupert Wills,MID,67.9,7,458000
Josh Thomas,FWD,59.1,20,439000
Josh Daicos,MID,63.2,5,431000
Ben Reid,FWD,54.7,7,428000
Jordan Roughead,DEF,55.5,22,412000
Darcy Moore,DEF,55.1,15,409000
John Noble,DEF,68.3,3,400000
Travis Varcoe,FWD,53.7,16,398000
Mason Cox,FWD,51.5,14,382000
Isaac Quaynor,DEF,60.8,4,370000
Tim Broomhead,MID/FWD,0,0,309000
Jack Madgen,DEF,44,4,288000
Flynn Appleby,DEF,25,1,268000
Nathan Murphy,DEF,0,0,218000
Jay Rantall,MID,0,0,192000
Trent Bianco,DEF/MID,0,0,182000
Tyler Brown,MID,0,0,170000
Will Kelly,FWD,0,0,170000
Anton Tohill,FWD,0,0,170000
Mark Keane,DEF,0,0,170000
Atu Bosenavulagi,FWD,0,0,170000
Max Lynch,RUC,0,0,170000
Darcy Cameron,RUC/FWD,0,0,170000
Trey Ruscoe,DEF/MID,0,0,170000
Thomas Wilson,FWD,0,0,170000
Lachie Neale,MID,104.7,22,777000
Dayne Zorko,MID,104.4,22,775000
Jarryd Lyons,MID,97.5,22,723000
Mitch Robinson,MID,93.6,22,695000
Hugh McCluggage,MID,91.4,21,678000
Daniel Rich,DEF,88,22,653000
