Brodie Grundy,109.8,871000,Ruck,Collingwood Magpies
Jackson Macrae,114.4,890000,Midfield,Western Bulldogs
Adam Treloar,115.4,787000,Midfield,Collingwood Magpies
Andrew Gaff,69.2,803000,Midfield,West Coast Eagles
Tim Taranto,106.8,660000,Midfield,Greater Western Sydney Giants
Max Gawn,102.0,808000,Ruck,Melbourne Demons
Joshua Kelly,64.0,787000,Midfield,Greater Western Sydney Giants
Josh Dunkley,76.6,695000,Midfield,Western Bulldogs
Brad Crouch,108.6,524000,Midfield,Adeliade Crows
Lachie Whitfield,126.4,726000,Defender,Greater Western Sydney Giants
Zachary Merrett,103.0,736000,Midfield,Essendon Bombers
Jake Lloyd,126.0,738000,Defender,Sydney Swans
Matt Crouch,109.2,761000,Midfield,Adeliade Crows
Clayton Oliver,101.4,792000,Midfield,Melbourne Demons
Patrick Dangerfield,107.8,771000,Midfield,Geelong Cats
Travis Boak,117.6,633000,Forward,Port Adelaide Power
Nathan Fyfe,98.0,741000,Midfield,Fremantle Dockers
Jarrod Witts,106.0,681000,Ruck,Gold Coast Suns
Scott Pendlebury,90.2,738000,Midfield,Collingwood Magpies
Dayne Zorko,90.2,701000,Midfield,Brisbane Lions
Stephen Coniglio,111.4,801000,Midfield,Greater Western Sydney Giants
Lachie Neale,117.4,727000,Midfield,Brisbane Lions
Mitchell Duncan,97.4,739000,Midfield,Geelong Cats
Marcus Bontempelli,113.4,671000,Midfield,Western Bulldogs
Bachar Houli,36.8,536000,Defender,Richmond Tigers
Luke Shuey,95.2,634000,Midfield,West Coast Eagles
Patrick Cripps,118.8,793000,Midfield,Carlton Blues
Elliot Yeo,82.8,775000,Midfield,West Coast Eagles
Josh P. Kennedy,0.0,654000,Midfield,Sydney Swans
Dion Prestia,90.2,618000,Midfield,Richmond Tigers
Steele Sidebottom,91.0,750000,Midfield,Collingwood Magpies
Brayden Fiorini,109.4,665000,Midfield,Gold Coast Suns
Jaeger O'Meara,113.25,695000,Midfield,Hawthorn Hawks
Rory Sloane,115.2,653000,Midfield,Adeliade Crows
Tom Rockliff,110.0,600000,Midfield,Port Adelaide Power
Rowan Marshall,91.5,512000,Forward,St Kilda Saints
Tim Kelly,98.2,630000,Midfield,Geelong Cats
Daniel Hannebery,0.0,,Midfield,St Kilda Saints
Jack Billings,103.0,618000,Forward,St Kilda Saints
Luke Parker,89.8,694000,Midfield,Sydney Swans
Dylan Shiel,102.2,647000,Midfield,Essendon Bombers
Lachlan Hunter,100.4,765000,Midfield,Western Bulldogs
Jack Crisp,87.4,635000,Defender,Collingwood Magpies
Jarryd Lyons,68.4,689000,Midfield,Brisbane Lions
Toby Greene,12.8,604000,Forward,Greater Western Sydney Giants
Rory Laird,95.8,782000,Defender,Adeliade Crows
James Worpel,90.2,480000,Midfield,Hawthorn Hawks
Ricky Henderson,110.4,610000,Midfield,Hawthorn Hawks
Jack Steele,101.2,685000,Midfield,St Kilda Saints
Marc Murphy,102.0,705000,Midfield,Carlton Blues
Dustin Martin,79.5,674000,Midfield,Richmond Tigers
Reilly O'Brien,46.0,232000,Ruck,Adeliade Crows
Liam Shiels,19.6,704000,Midfield,Hawthorn Hawks
Shaun Higgins,104.2,681000,Midfield,North Melbourne Kangaroos
Dyson Heppell,105.0,738000,Midfield,Essendon Bombers
Sebastian Ross,91.8,779000,Midfield,St Kilda Saints
James Harmes,90.8,603000,Midfield,Melbourne Demons
Taylor Adams,50.8,690000,Midfield,Collingwood Magpies
Mitch Robinson,84.4,640000,Midfield,Brisbane Lions
Caleb Daniel,92.0,565000,Forward,Western Bulldogs
Michael Walters,89.0,581000,Midfield,Fremantle Dockers
Nic Newman,88.0,552000,Defender,Carlton Blues
Oliver Wines,52.0,678000,Midfield,Port Adelaide Power
Thomas Stewart,99.4,579000,Defender,Geelong Cats
Dominic Sheed,96.4,539000,Midfield,West Coast Eagles
Zachary Williams,78.4,421000,Defender,Greater Western Sydney Giants
Jacob Hopper,86.4,568000,Midfield,Greater Western Sydney Giants
Sam Walsh,102.2,270000,Midfield,Carlton Blues
Ed Langdon,102.4,645000,Midfield,Fremantle Dockers
Jack Redden,86.2,698000,Midfield,West Coast Eagles
Hugh McCluggage,85.2,563000,Midfield,Brisbane Lions
Tom Phillips,95.4,693000,Midfield,Collingwood Magpies
Shannon Hurn,99.6,645000,Defender,West Coast Eagles
Touk Miller,104.6,624000,Midfield,Gold Coast Suns
Edward Curnow,78.4,728000,Midfield,Carlton Blues
Isaac Heeney,94.0,658000,Midfield,Sydney Swans
Jack Ziebell,66.8,601000,Forward,North Melbourne Kangaroos
Christian Salem,100.0,576000,Defender,Melbourne Demons
Tom Lynch,0.0,487000,Forward,Adeliade Crows
Bradley Hill,93.2,587000,Midfield,Fremantle Dockers
Dayne Beams,99.75,768000,Midfield,Collingwood Magpies
Todd Goldstein,78.4,678000,Ruck,North Melbourne Kangaroos
Jared Polec,88.2,669000,Midfield,North Melbourne Kangaroos
Trent Dumont,99.5,598000,Midfield,North Melbourne Kangaroos
Angus Brayshaw,106.6,763000,Midfield,Melbourne Demons
Cameron Ellis-Yolmen,31.6,592000,Midfield,Adeliade Crows
David Swallow,84.8,614000,Midfield,Gold Coast Suns
Will Brodie,17.2,466000,Midfield,Gold Coast Suns
Darcy Macpherson,82.2,440000,Forward,Gold Coast Suns
Brodie Smith,80.8,439000,Defender,Adeliade Crows
Daniel Rich,93.8,519000,Defender,Brisbane Lions
Jeremy Cameron,88.6,566000,Forward,Greater Western Sydney Giants
Matthew Taberner,99.6,485000,Forward,Fremantle Dockers
Darcy Byrne-Jones,84.0,519000,Defender,Port Adelaide Power
Gary Ablett,89.6,754000,Midfield,Geelong Cats
Luke Dunstan,47.0,599000,Midfield,St Kilda Saints
Kane Lambert,88.6,589000,Forward,Richmond Tigers
Stefan Martin,72.6,735000,Ruck,Brisbane Lions
Anthony Miles,79.25,425000,Midfield,Gold Coast Suns
Isaac Smith,78.8,647000,Midfield,Hawthorn Hawks
Patrick Lipinski,0.0,419000,Midfield,Western Bulldogs
Matthew Suckling,96.25,639000,Defender,Western Bulldogs
James Sicily,92.0,694000,Defender,Hawthorn Hawks
Jack Martin,87.6,608000,Midfield,Gold Coast Suns
Charlie Constable,87.5,170000,Midfield,Geelong Cats
Jade Gresham,79.4,531000,Forward,St Kilda Saints
Scott Lycett,72.6,559000,Ruck,Port Adelaide Power
Ben McEvoy,102.6,628000,Ruck,Hawthorn Hawks
Heath Shaw,70.6,627000,Defender,Greater Western Sydney Giants
Zak Jones,94.6,499000,Defender,Sydney Swans
Matthew Kreuzer,16.2,576000,Ruck,Carlton Blues
Jordan Dawson,81.0,399000,Midfield,Sydney Swans
Lachlan Weller,45.6,543000,Midfield,Gold Coast Suns
Jack Viney,82.6,604000,Midfield,Melbourne Demons
Ben Cunnington,84.2,682000,Midfield,North Melbourne Kangaroos
Joel Selwood,87.0,732000,Midfield,Geelong Cats
Rory Atkins,80.8,578000,Midfield,Adeliade Crows
Bradley Sheppard,98.8,541000,Defender,West Coast Eagles
Robbie Gray,73.2,612000,Midfield,Port Adelaide Power
Jason Johannisen,39.2,551000,Defender,Western Bulldogs
Jaidyn Stephenson,76.8,477000,Forward,Collingwood Magpies
Bryce Gibbs,89.0,753000,Midfield,Adeliade Crows
Harry Cunningham,96.6,544000,Midfield,Sydney Swans
Aaron Hall,80.4,626000,Midfield,North Melbourne Kangaroos
David Mundy,81.8,652000,Midfield,Fremantle Dockers
Nick Haynes,70.75,525000,Defender,Greater Western Sydney Giants
Rhys Stanley,79.0,590000,Ruck,Geelong Cats
Brandon Ellis,90.0,538000,Defender,Richmond Tigers
Jarrod Lienert,0.0,470000,Defender,Port Adelaide Power
Sam Jacobs,26.6,591000,Ruck,Adeliade Crows
Andrew Phillips,33.4,355000,Ruck,Carlton Blues
Dan Houston,73.0,522000,Defender,Port Adelaide Power
Kade Simpson,79.0,692000,Defender,Carlton Blues
Jarrod Berry,89.0,559000,Midfield,Brisbane Lions
Brad Ebert,101.4,645000,Midfield,Port Adelaide Power
Luke Ryan,82.6,558000,Defender,Fremantle Dockers
Jordan De Goey,85.8,594000,Forward,Collingwood Magpies
Dale Thomas,73.8,622000,Defender,Carlton Blues
David Zaharakis,95.25,704000,Midfield,Essendon Bombers
Darcy Parish,80.0,542000,Midfield,Essendon Bombers
Dane Rampe,80.8,474000,Defender,Sydney Swans
Devon Smith,89.75,774000,Midfield,Essendon Bombers
Rory Lobb,75.6,485000,Ruck,Fremantle Dockers
Mitchell Wallis,76.6,595000,Forward,Western Bulldogs
Nick Vlastuin,64.6,531000,Defender,Richmond Tigers
Jack Graham,75.5,477000,Midfield,Richmond Tigers
Jed Anderson,31.8,552000,Midfield,North Melbourne Kangaroos
Timothy English,77.8,446000,Ruck,Western Bulldogs
Chad Wingard,36.0,598000,Midfield,Hawthorn Hawks
Shane Savage,77.6,593000,Defender,St Kilda Saints
Hugh Greenwood,13.8,597000,Midfield,Adeliade Crows
Xavier Duursma,66.2,236000,Defender,Port Adelaide Power
Nicholas Naitanui,0.0,,Ruck,West Coast Eagles
Sam Petrevski-Seton,84.2,508000,Forward,Carlton Blues
Brayden Maynard,73.8,541000,Defender,Collingwood Magpies
Michael Hurley,84.0,608000,Defender,Essendon Bombers
Harry Perryman,5.0,379000,Defender,Greater Western Sydney Giants
Hunter Clark,19.4,421000,Defender,St Kilda Saints
Tom Papley,87.0,452000,Forward,Sydney Swans
Justin Westhoff,72.2,740000,Ruck,Port Adelaide Power
Cameron Guthrie,19.6,441000,Defender,Geelong Cats
Taylor Duryea,66.25,448000,Defender,Western Bulldogs
Wayne Milera,81.4,546000,Defender,Adeliade Crows
Callum Sinclair,78.0,673000,Ruck,Sydney Swans
Pearce Hanley,71.4,414000,Defender,Gold Coast Suns
Hamish Hartlett,0.0,534000,Defender,Port Adelaide Power
Sam Lloyd,64.8,450000,Midfield,Western Bulldogs
Karl Amon,15.2,454000,Midfield,Port Adelaide Power
Christopher Mayne,81.0,522000,Midfield,Collingwood Magpies
Sam Menegola,75.2,716000,Midfield,Geelong Cats
Jack Gunston,79.0,629000,Forward,Hawthorn Hawks
Thomas Liberatore,98.4,392000,Midfield,Western Bulldogs
Jack Steven,46.8,702000,Midfield,St Kilda Saints
Christian Petracca,73.2,585000,Midfield,Melbourne Demons
Andrew McGrath,79.0,518000,Defender,Essendon Bombers
Jonathon Ceglar,62.5,456000,Ruck,Hawthorn Hawks
Callum Mills,74.6,522000,Defender,Sydney Swans
Shane Edwards,76.6,482000,Midfield,Richmond Tigers
George Hewett,64.4,478000,Midfield,Sydney Swans
Sam Powell-Pepper,75.8,544000,Midfield,Port Adelaide Power
Josh Jenkins,69.5,561000,Forward,Adeliade Crows
Jamie MacMillan,88.2,530000,Defender,North Melbourne Kangaroos
Adam Tomlinson,83.6,539000,Midfield,Greater Western Sydney Giants
Connor Blakely,0.0,664000,Defender,Fremantle Dockers
Jake Melksham,72.0,510000,Forward,Melbourne Demons
Reece Conca,76.0,538000,Midfield,Fremantle Dockers
Luke Dahlhaus,88.2,570000,Midfield,Geelong Cats
Matthew Broadbent,0.0,351000,Defender,Port Adelaide Power
Sam Gray,44.6,487000,Forward,Port Adelaide Power
Bayley Fritsch,70.4,540000,Midfield,Melbourne Demons
Nathan Jones,78.4,632000,Midfield,Melbourne Demons
Alex Witherden,92.0,639000,Defender,Brisbane Lions
Jeremy Howe,71.6,597000,Defender,Collingwood Magpies
James Cousins,72.6,329000,Midfield,Hawthorn Hawks
Toby Nankervis,86.2,648000,Ruck,Richmond Tigers
Will Hoskin-Elliott,0.0,486000,Forward,Collingwood Magpies
Paul Seedsman,24.4,577000,Midfield,Adeliade Crows
Jacob Dawson,0.0,292000,Midfield,Gold Coast Suns
Aaron Sandilands,0.0,554000,Ruck,Fremantle Dockers
Connor Rozee,74.2,262000,Defender,Port Adelaide Power
Darcy Tucker,72.4,431000,Midfield,Fremantle Dockers
Rupert Wills,0.0,325000,Midfield,Collingwood Magpies
Sydney Stack,41.0,170000,Forward,Richmond Tigers
Blake Hardwick,67.4,469000,Defender,Hawthorn Hawks
Ryan Burton,83.8,450000,Defender,Port Adelaide Power
Brandan Parfitt,72.0,550000,Forward,Geelong Cats
Brett Deledio,28.8,559000,Midfield,Greater Western Sydney Giants
Ben Brown,59.8,493000,Forward,North Melbourne Kangaroos
Riley Knight,68.0,461000,Midfield,Adeliade Crows
Jack Bowes,92.8,463000,Midfield,Gold Coast Suns
Jasper Pittard,84.0,515000,Defender,North Melbourne Kangaroos
Jarman Impey,62.6,508000,Defender,Hawthorn Hawks
Jack Darling,54.8,557000,Forward,West Coast Eagles
Josh Caddy,26.2,576000,Forward,Richmond Tigers
Ivan Soldo,0.0,359000,Ruck,Richmond Tigers
Tom Bellchambers,57.2,577000,Ruck,Essendon Bombers
Hayden Crozier,61.8,535000,Defender,Western Bulldogs
Cale Hooker,37.6,510000,Defender,Essendon Bombers
Shaun Burgoyne,21.6,571000,Midfield,Hawthorn Hawks
Jarrod Harbrow,73.8,567000,Defender,Gold Coast Suns
Tim Membrey,70.2,499000,Forward,St Kilda Saints
Lance Franklin,68.8,666000,Forward,Sydney Swans
Lewis Taylor,0.0,524000,Forward,Brisbane Lions
Brody Mihocek,79.4,462000,Forward,Collingwood Magpies
Zach Tuohy,0.0,586000,Defender,Geelong Cats
Patrick Ryder,66.6,543000,Ruck,Port Adelaide Power
Tom Hawkins,72.0,639000,Forward,Geelong Cats
Conor McKenna,63.4,472000,Defender,Essendon Bombers
Jamie Elliott,56.8,385000,Forward,Collingwood Magpies
Jack Newnes,91.6,481000,Midfield,St Kilda Saints
Billy Stretch,11.0,416000,Midfield,Melbourne Demons
Trent Cotchin,49.0,581000,Midfield,Richmond Tigers
Andrew Brayshaw,66.6,485000,Midfield,Fremantle Dockers
Kyle Langford,27.0,582000,Midfield,Essendon Bombers
Oliver Florent,75.4,458000,Midfield,Sydney Swans
Sam Reid,64.6,435000,Forward,Sydney Swans
Jason Castagna,58.25,400000,Forward,Richmond Tigers
Jayden Short,32.2,551000,Defender,Richmond Tigers
Mason Redman,27.2,450000,Defender,Essendon Bombers
Quinton Narkle,0.0,320000,Forward,Geelong Cats
Sean Darcy,25.0,552000,Ruck,Fremantle Dockers
Bailey Smith,58.0,258000,Midfield,Western Bulldogs
Luke Hodge,70.0,563000,Defender,Brisbane Lions
Josh Battle,63.0,304000,Forward,St Kilda Saints
Peter Wright,70.4,459000,Forward,Gold Coast Suns
Jeremy McGovern,67.6,485000,Defender,West Coast Eagles
Luke Breust,69.6,613000,Forward,Hawthorn Hawks
Jordan Ridley,65.25,310000,Defender,Essendon Bombers
Jarryn Geary,76.25,515000,Defender,St Kilda Saints
Jeremy Finlayson,72.6,419000,Defender,Greater Western Sydney Giants
Willem Drew,70.6,170000,Midfield,Port Adelaide Power
Adam Saad,60.4,429000,Defender,Essendon Bombers
Jackson Hately,16.8,244000,Midfield,Greater Western Sydney Giants
Blake Acres,68.0,584000,Midfield,St Kilda Saints
Daniel Howe,33.2,560000,Midfield,Hawthorn Hawks
John Noble,0.0,,Defender,Collingwood Magpies
Tom Hickey,59.2,547000,Ruck,West Coast Eagles
Alex Keath,74.0,359000,Defender,Adeliade Crows
Will Setterfield,62.25,251000,Midfield,Carlton Blues
Jake Kelly,64.0,464000,Defender,Adeliade Crows
Riley Bonner,64.8,438000,Defender,Port Adelaide Power
Toby McLean,73.6,686000,Midfield,Western Bulldogs
Jack Higgins,76.6,448000,Forward,Richmond Tigers
Shaun Atley,74.4,446000,Forward,North Melbourne Kangaroos
Jy Simpkin,56.2,432000,Forward,North Melbourne Kangaroos
Matthew De Boer,64.8,569000,not found,Greater Western Sydney Giants
Liam Duggan,66.5,485000,Defender,West Coast Eagles
Mark Blicavs,64.6,453000,Defender,Geelong Cats
Chris Masten,59.8,571000,Midfield,West Coast Eagles
Gryan Miers,65.8,170000,Forward,Geelong Cats
Jack Lonie,74.8,486000,Forward,St Kilda Saints
Jack Sinclair,70.4,538000,Midfield,St Kilda Saints
David Cuningham,16.6,391000,Defender,Carlton Blues
Jay Kennedy-Harris,0.0,,Midfield,Melbourne Demons
Jack Silvagni,17.4,353000,Defender,Carlton Blues
Dylan Clarke,0.0,250000,Midfield,Essendon Bombers
Tom Scully,70.25,446000,Midfield,Hawthorn Hawks
Jesse Hogan,80.75,646000,Forward,Fremantle Dockers
Jarryd Roughead,69.0,532000,Forward,Hawthorn Hawks
Liam Baker,27.6,218000,Forward,Richmond Tigers
Dawson Simpson,26.4,553000,Ruck,Greater Western Sydney Giants
Taylin Duman,30.2,459000,Defender,Fremantle Dockers
Jamie Cripps,37.6,590000,Forward,West Coast Eagles
Charlie Cameron,62.4,472000,Forward,Brisbane Lions
Peter Ladhams,0.0,170000,Ruck,Port Adelaide Power
James Aish,64.2,501000,Defender,Collingwood Magpies
Allen Christensen,28.4,530000,Forward,Brisbane Lions
David MacKay,70.8,465000,Defender,Adeliade Crows
Bailey Dale,0.0,423000,Midfield,Western Bulldogs
Shaun McKernan,34.8,538000,Forward,Essendon Bombers
Levi Casboult,34.8,383000,Forward,Carlton Blues
Mitchell Brown,81.5,488000,Defender,Essendon Bombers
Tom Langdon,70.8,537000,Defender,Collingwood Magpies
Ben Ainsworth,33.0,442000,Forward,Gold Coast Suns
Robbie Tarrant,74.2,482000,Defender,North Melbourne Kangaroos
Charlie Curnow,29.6,536000,Forward,Carlton Blues
Will Hayes,14.2,170000,Midfield,Western Bulldogs
Nathan Wilson,58.2,519000,Defender,Fremantle Dockers
Tom Lynch,57.4,487000,Forward,Richmond Tigers
Steven Motlop,62.5,486000,Midfield,Port Adelaide Power
Jake Stringer,68.4,503000,Forward,Essendon Bombers
Willie Rioli,0.0,391000,Forward,West Coast Eagles
Adam Kennedy,75.4,466000,Defender,Greater Western Sydney Giants
Aliir Aliir,59.8,503000,Defender,Sydney Swans
Thomas Jonas,60.6,545000,Defender,Port Adelaide Power
Cameron Zurhaar,21.0,260000,Forward,North Melbourne Kangaroos
Tom McDonald,50.6,654000,Forward,Melbourne Demons
Sam Day,0.0,381000,Forward,Gold Coast Suns
Shane Mumford,49.2,429000,Ruck,Greater Western Sydney Giants
Phil Davis,63.0,443000,Defender,Greater Western Sydney Giants
Callum Brown,37.0,411000,Forward,Collingwood Magpies
Nicholas Holman,52.75,464000,Forward,Gold Coast Suns
Josh Daicos,0.0,496000,Forward,Collingwood Magpies
Zac Fisher,81.6,504000,Midfield,Carlton Blues
James Rowbottom,12.0,222000,Midfield,Sydney Swans
Taylor Walker,62.8,449000,Forward,Adeliade Crows
Kamdyn Mcintosh,71.6,396000,Midfield,Richmond Tigers
Aaron Naughton,54.2,377000,Defender,Western Bulldogs
Jordan Clark,53.6,242000,Defender,Geelong Cats
Mitchell Lewis,11.2,,Forward,Hawthorn Hawks
Anthony McDonald-Tipungwuti,71.2,476000,Forward,Essendon Bombers
Lewis Jetta,65.0,461000,Defender,West Coast Eagles
Michael Gibbons,55.0,170000,Forward,Carlton Blues
Jordan Lewis,7.2,575000,Defender,Melbourne Demons
Brandon Matera,40.6,464000,Forward,Fremantle Dockers
Ryan Clarke,35.2,511000,Defender,Sydney Swans
Bailey Williams,18.8,580000,Defender,Western Bulldogs
Jack Ross,29.8,186000,Midfield,Richmond Tigers
Jarrad McVeigh,43.8,572000,Defender,Sydney Swans
Lachlan Plowman,69.2,351000,Defender,Carlton Blues
Jake Waterman,6.8,398000,Forward,West Coast Eagles
Marty Hore,46.8,170000,Defender,Melbourne Demons
Alex Neal-Bullen,31.2,565000,Forward,Melbourne Demons
Harry McKay,72.2,452000,Forward,Carlton Blues
Michael Hibberd,57.2,499000,Defender,Melbourne Demons
Dean Kent,58.8,431000,Forward,St Kilda Saints
Samuel Reid,59.4,337000,Defender,Greater Western Sydney Giants
Mason Wood,28.6,468000,Forward,North Melbourne Kangaroos
Levi Greenwood,21.8,416000,Defender,Collingwood Magpies
Adam Cerra,60.0,432000,Forward,Fremantle Dockers
Shai Bolton,20.0,223000,Forward,Richmond Tigers
Brent Daniels,63.4,276000,Forward,Greater Western Sydney Giants
Paul Ahern,19.6,497000,Midfield,North Melbourne Kangaroos
Travis Colyer,64.8,464000,Midfield,Fremantle Dockers
Lincoln McCarthy,57.8,305000,Forward,Brisbane Lions
Josh Thomas,61.0,526000,Forward,Collingwood Magpies
Jake Lever,0.0,434000,Defender,Melbourne Demons
Callum Wilkie,56.4,170000,Defender,St Kilda Saints
Jack Riewoldt,14.0,616000,Forward,Richmond Tigers
Mark O'Connor,55.6,292000,Defender,Geelong Cats
Richard Douglas,11.8,536000,Midfield,Adeliade Crows
Nicholas Coffield,0.0,,Defender,St Kilda Saints
Ben Paton,24.8,281000,Defender,St Kilda Saints
