Timothy English,72.83,572000,Ruck,Western Bulldogs,7,0.0001273251748251748
Luke McDonald,72.53,431000,Defender,North Melbourne Kangaroos,0,0.0001682830626450116
Brandon Ellis,72.44,629000,Midfield,Gold Coast Suns,0,0.00011516693163751987
Tom Hawkins,72.38,526000,Forward,Geelong Cats,0,0.00013760456273764258
Caleb Daniel,72.17,696000,Defender,Western Bulldogs,0,0.00010369252873563219
Jared Polec,71.77,654000,Midfield,North Melbourne Kangaroos,0,0.0001097400611620795
Jordan Ridley,71.59,444000,Defender,Essendon Bombers,0,0.00016123873873873874
David Swallow,71.4,652000,Midfield,Gold Coast Suns,1,0.00010950920245398774
Zak Jones,71.31,614000,Midfield,St Kilda Saints,10,0.0001161400651465798
Christian Salem,71.31,665000,Defender,Melbourne Demons,0,0.00010723308270676693
Dan Houston,71.24,596000,Defender,Port Adelaide Power,8,0.00011953020134228187
Elliot Yeo,71.2,762000,Midfield,West Coast Eagles,7,9.343832020997375e-05
Brayden Maynard,71.05,570000,Defender,Collingwood Magpies,0,0.00012464912280701754
Sam Docherty,70.94,563000,Defender,Carlton Blues,6,0.00012600355239786857
Jy Simpkin,70.82,496000,Midfield,North Melbourne Kangaroos,0,0.00014278225806451612
Matt Rowell,70.8,270000,Midfield,Gold Coast Suns,14,0.00026222222222222223
Devon Smith,70.75,720000,Midfield,Essendon Bombers,45,9.826388888888889e-05
Nick Haynes,70.71,589000,Defender,Greater Western Sydney Giants,3,0.00012005093378607809
Isaac Heeney,70.67,666000,Midfield,Sydney Swans,0,0.00010611111111111112
Luke Ryan,70.53,594000,Defender,Fremantle Dockers,2,0.00011873737373737374
Jacob Hopper,70.47,695000,Midfield,Greater Western Sydney Giants,9,0.0001013956834532374
Harry Perryman,70.19,562000,Midfield,Greater Western Sydney Giants,0,0.0001248932384341637
Brad Ebert,70.14,594000,Forward,Port Adelaide Power,4,0.00011808080808080809
Thomas Liberatore,70.0,564000,Midfield,Western Bulldogs,0,0.00012411347517730497
Daniel Rich,69.87,653000,Defender,Brisbane Lions,0,0.00010699846860643186
Dominic Sheed,69.76,705000,Midfield,West Coast Eagles,0,9.895035460992909e-05
Nicholas Naitanui,69.71,471000,Ruck,West Coast Eagles,1,0.00014800424628450104
James Sicily,69.45,620000,Defender,Hawthorn Hawks,4,0.00011201612903225807
Liam Duggan,69.24,495000,Defender,West Coast Eagles,0,0.00013987878787878786
Bradley Sheppard,69.06,611000,Defender,West Coast Eagles,0,0.0001130278232405892
Bailey Smith,69.06,513000,Midfield,Western Bulldogs,45,0.00013461988304093567
Rhys Stanley,69.0,603000,Ruck,Geelong Cats,0,0.00011442786069651741
Jack Steven,69.0,653000,Midfield,Geelong Cats,25,0.00010566615620214395
Jarrod Berry,68.94,591000,Midfield,Brisbane Lions,1,0.00011664974619289339
Kyle Langford,68.56,524000,Midfield,Essendon Bombers,0,0.00013083969465648855
Luke Shuey,68.54,749000,Midfield,West Coast Eagles,0,9.150867823765021e-05
James Cousins,68.5,544000,Midfield,Hawthorn Hawks,0,0.00012591911764705881
Brandan Parfitt,68.39,536000,Midfield,Geelong Cats,0,0.00012759328358208954
Brodie Smith,68.25,646000,Defender,Adeliade Crows,45,0.00010565015479876161
Josh Daicos,67.89,431000,Midfield,Collingwood Magpies,0,0.00015751740139211137
Liam Shiels,67.75,708000,Midfield,Hawthorn Hawks,0,9.569209039548022e-05
Dion Prestia,67.67,738000,Midfield,Richmond Tigers,1,9.169376693766938e-05
Chad Wingard,67.47,582000,Midfield,Hawthorn Hawks,18,0.00011592783505154639
Toby Nankervis,67.18,642000,Ruck,Richmond Tigers,0,0.00010464174454828662
Will Setterfield,67.0,498000,Midfield,Carlton Blues,1,0.00013453815261044177
Joel Selwood,67.0,585000,Midfield,Geelong Cats,4,0.00011452991452991453
Caleb Serong,66.64,256000,Midfield,Fremantle Dockers,5,0.0002603125
Marc Murphy,66.41,712000,Midfield,Carlton Blues,0,9.327247191011236e-05
Jordan Dawson,66.31,614000,Defender,Sydney Swans,16,0.00010799674267100977
Adam Saad,66.24,499000,Defender,Essendon Bombers,0,0.0001327454909819639
Adam Cerra,66.06,451000,Defender,Fremantle Dockers,5,0.00014647450110864745
David Mundy,66.06,597000,Midfield,Fremantle Dockers,0,0.00011065326633165829
Bachar Houli,65.92,766000,Defender,Richmond Tigers,0,8.605744125326371e-05
Toby Greene,65.69,730000,Forward,Greater Western Sydney Giants,1,8.998630136986301e-05
Zachary Williams,65.64,688000,Defender,Greater Western Sydney Giants,9,9.540697674418605e-05
Matthew Kennedy,65.57,359000,Forward,Carlton Blues,0,0.00018264623955431753
Darcy Parish,65.35,589000,Midfield,Essendon Bombers,5,0.00011095076400679117
Scott Lycett,65.07,619000,Ruck,Port Adelaide Power,5,0.0001051211631663974
Lachlan Weller,65.0,612000,Midfield,Gold Coast Suns,2,0.00010620915032679738
Trent Cotchin,64.94,525000,Midfield,Richmond Tigers,0,0.00012369523809523808
Isaac Smith,64.8,630000,Midfield,Hawthorn Hawks,45,0.00010285714285714286
Shannon Hurn,64.59,678000,Defender,West Coast Eagles,0,9.526548672566372e-05
Jarrod Witts,64.35,775000,Ruck,Gold Coast Suns,0,8.303225806451613e-05
Shai Bolton,64.16,473000,Forward,Richmond Tigers,0,0.00013564482029598308
Sam Jacobs,64.14,514000,Ruck,Greater Western Sydney Giants,72,0.00012478599221789883
Tom Lynch,63.77,463000,Forward,Adeliade Crows,2,0.00013773218142548596
Ben Keays,63.75,338000,Forward,Adeliade Crows,0,0.0001886094674556213
Jack Bowes,63.71,531000,Midfield,Gold Coast Suns,0,0.00011998116760828625
Jack Martin,63.67,619000,Midfield,Carlton Blues,13,0.000102859450726979
Bailey Williams,63.61,575000,Defender,Western Bulldogs,9,0.00011062608695652174
Hunter Clark,63.56,574000,Defender,St Kilda Saints,1,0.00011073170731707318
Paul Seedsman,63.56,540000,Midfield,Adeliade Crows,0,0.00011770370370370371
Karl Amon,63.47,567000,Midfield,Port Adelaide Power,0,0.0001119400352733686
Angus Brayshaw,63.21,653000,Midfield,Melbourne Demons,28,9.679938744257274e-05
Tom Phillips,63.07,672000,Midfield,Collingwood Magpies,0,9.385416666666667e-05
Nicholas Coffield,63.06,415000,Defender,St Kilda Saints,0,0.00015195180722891568
Zach Tuohy,63.0,507000,Defender,Geelong Cats,0,0.0001242603550295858
Kane Lambert,62.4,643000,Forward,Richmond Tigers,0,9.704510108864696e-05
Jack Lukosius,62.29,388000,Defender,Gold Coast Suns,6,0.00016054123711340207
Ben Ainsworth,62.0,483000,Midfield,Gold Coast Suns,6,0.00012836438923395445
Jason Johannisen,61.88,609000,Defender,Western Bulldogs,0,0.00010160919540229886
Darcy Byrne-Jones,61.68,640000,Defender,Port Adelaide Power,0,9.6375e-05
James Aish,61.56,496000,Defender,Fremantle Dockers,0,0.00012411290322580647
Jade Gresham,61.55,619000,Midfield,St Kilda Saints,2,9.943457189014539e-05
Patrick Ryder,61.43,521000,Ruck,St Kilda Saints,0,0.00011790786948176584
Michael Gibbons,61.27,463000,Forward,Carlton Blues,0,0.00013233261339092874
Steven May,61.24,527000,Defender,Melbourne Demons,17,0.00011620493358633777
Aaron Hall,61.13,527000,Midfield,North Melbourne Kangaroos,0,0.00011599620493358634
Jack Gunston,61.06,565000,Forward,Hawthorn Hawks,0,0.000108070796460177
Robbie Gray,60.89,603000,Midfield,Port Adelaide Power,0,0.00010097844112769486
Zak Butters,60.88,421000,Forward,Port Adelaide Power,0,0.0001446080760095012
Gryan Miers,60.81,495000,Forward,Geelong Cats,0,0.00012284848484848485
