Bailey Williams,DEF,79.3,17,605000
Angus Brayshaw,MID,79,14,603000
Darcy Byrne-Jones,DEF,79,17,603000
Hunter Clark,DEF,79,16,603000
Isaac Heeney,FWD,88.4,6,603000
Tom Phillips,MID/FWD,78.9,15,602000
Gryan Miers,FWD,78.3,17,598000
Kane Lambert,FWD,78.3,16,598000
Joel Selwood,MID,78,11,596000
Jack Lukosius,DEF,77.9,17,595000
Zak Butters,FWD,77.9,15,595000
Ben Ainsworth,FWD,77.5,16,592000
Nick Coffield,DEF,77.6,16,592000
Jason Johannisen,DEF,77.5,16,592000
Zac Bailey,MID/FWD,77.3,17,590000
Paul Seedsman,MID,79.5,9,589000
James Aish,MID,77,16,588000
Nick Vlastuin,DEF,76.9,16,587000
Jade Gresham,MID,76.9,11,587000
Michael Gibbons,FWD,76.6,15,585000
John Noble,DEF,76.6,15,585000
Steven May,DEF,76.5,17,584000
Jack Gunston,FWD,76.4,16,583000
Aaron Hall,FWD,76.4,15,583000
Robbie Gray,FWD,76.4,17,583000
Rory Sloane,MID,76,12,580000
Hamish Hartlett,DEF,75.8,17,579000
Callum Sinclair,RUC,75.6,13,577000
Tom Cutler,MID,63.3,8,576000
Michael Hurley,DEF,75.5,14,576000
Oliver Florent,MID,75.5,17,576000
Mark Blicavs,DEF/MID,75.3,17,575000
James Cousins,MID,85.6,6,575000
Dan Butler,FWD,75.3,17,575000
Paddy Ryder,RUC,75.3,13,575000
Matt Rowell,MID,88.5,5,574000
Rhys Stanley,RUC,82.5,7,573000
Jonathon Ceglar,RUC,75,13,573000
Ryan Clarke,MID,74.9,10,572000
Matthew Kennedy,MID/FWD,82,7,570000
Stefan Martin,RUC,56.3,6,570000
Will Day,DEF,74.5,11,569000
Patrick Lipinski,MID,74.5,12,569000
Dyson Heppell,MID,51.6,3,566000
Sebastian Ross,MID,74,14,565000
Jack Higgins,FWD,73.8,10,563000
Noah Anderson,MID,73.6,17,562000
Charlie Dixon,FWD,73.5,16,561000
Matt Taberner,FWD,73.3,16,560000
Peter Ladhams,RUC/FWD,78,8,560000
Hayden Crozier,DEF,73.4,14,560000
Sam Naismith,RUC,96.3,2,559000
Sam Powell-Pepper,MID/FWD,73.1,17,558000
Jack Scrimshaw,DEF,72.9,13,557000
Robbie Tarrant,DEF,73,16,557000
Jack Graham,MID,72.9,12,557000
Bradley Hill,MID,72.9,17,557000
Toby Nankervis,RUC,80,7,556000
Tom Papley,FWD,72.8,17,556000
Jackson Nelson,DEF,72.8,14,556000
Harry Cunningham,DEF,72.6,17,554000
Jack Redden,MID,72.5,12,554000
Bayley Fritsch,FWD,72.4,16,553000
Mitch Robinson,MID,72.1,17,550000
Oscar McInerney,RUC,72,17,550000
Quinton Narkle,MID,58.3,5,550000
Michael Hibberd,DEF,72,14,550000
Liam Baker,DEF,72,16,550000
Reece Conca,DEF,71.8,14,548000
Tom Doedee,DEF,73.8,9,547000
Jack Newnes,MID/FWD,71.5,17,546000
Jamie Elliott,MID/FWD,71.4,16,545000
Brett Bewley,MID/FWD,71.4,12,545000
Nic Newman,DEF,36.3,2,542000
Rory Lobb,RUC/FWD,71,17,542000
Jack Sinclair,MID,70.8,10,541000
Jeremy McGovern,DEF,70.9,11,541000
Chris Mayne,MID,70.6,12,539000
Xavier Duursma,MID,70.6,13,539000
Cale Hooker,DEF,57.3,8,535000
Sydney Stack,MID/FWD,46.8,9,535000
James Rowbottom,MID,70.1,16,535000
Liam Ryan,FWD,69.9,17,534000
Taylor Duryea,DEF/FWD,91.9,2,533000
Ben Brown,FWD,48.3,9,532000
Lachie Henderson,DEF,69.5,10,531000
Damon Greaves,DEF,87.9,3,530000
Nathan Jones,MID/FWD,60.8,8,528000
Luke Breust,FWD,68.9,13,526000
Kamdyn McIntosh,MID,68.9,14,526000
Darcy Tucker,MID,73.1,8,525000
David Zaharakis,FWD,68.6,10,524000
Oscar Allen,FWD,68.6,14,524000
Marc Pittonet,RUC,68.4,13,522000
Andrew Phillips,RUC,61.5,5,522000
Luke Davies-Uniacke,MID,70.5,9,522000
Jarrod Lienert,DEF,57.3,5,522000
Will Snelling,FWD,68.3,17,521000
Lewis Taylor,FWD,54.9,9,521000
Shaun Atley,DEF,68.1,17,520000
Charlie Cameron,FWD,67.9,17,518000
Connor Rozee,FWD,67.8,14,518000
Jack Lonie,FWD,67.8,11,518000
Sam Gray,FWD,53.9,7,518000
Sam Petrevski-Seton,DEF,67.6,16,516000
Jason Castagna,FWD,67.6,17,516000
Cam Rayner,FWD,67.4,15,515000
Marlion Pickett,MID,67.5,15,515000
Bailey Dale,FWD,50.3,9,514000
Ivan Soldo,RUC,67,14,512000
Jake Carlisle,DEF,67.1,12,512000
Dylan Stephens,MID,71.3,8,512000
Levi Casboult,FWD,66.9,17,511000
Grant Birchall,DEF,66.8,14,510000
Rory Atkins,MID,44.4,4,510000
Callum Ah Chee,DEF,66.5,16,508000
Toby McLean,FWD,66.5,12,508000
Luke Dahlhaus,FWD,66.3,12,506000
Josh Caddy,MID,63.8,8,506000
George Hewett,MID,63.1,6,506000
Shaun McKernan,FWD,49.5,9,504000
Isaac Quaynor,DEF,67.9,9,503000
Will Brodie,MID/FWD,56.3,1,503000
Ben Cunnington,MID,83.4,3,503000
Shane McAdam,FWD,65.8,13,502000
Jye Caldwell,MID/FWD,67.8,9,502000
Jack Darling,FWD,65.8,17,502000
Dane Rampe,DEF,65.6,11,501000
Harry Morrison,DEF/MID,65.5,11,500000
Jamie Cripps,FWD,65.4,13,499000
Shane Edwards,MID,72.3,6,497000
Riley Bonner,DEF,61.8,9,496000
David Mackay,DEF,64.8,10,495000
Darcy Moore,DEF,64.8,16,495000
Ben Paton,DEF,64.8,17,495000
Josh Battle,MID/FWD,64.8,13,495000
Josh Jenkins,RUC/FWD,86.3,1,494000
Eric Hipwood,FWD,64.6,17,493000
Sean Darcy,RUC,64.6,15,493000
Nathan Wilson,DEF,64.6,15,493000
Adam Tomlinson,DEF/MID,64.6,13,493000
Ethan Hughes,DEF,64.4,17,492000
Tim Membrey,FWD,64.5,16,492000
Lachie Fogarty,FWD,72.8,6,489000
Trent McKenzie,DEF,64.1,15,489000
Jeremy Cameron,FWD,63.9,17,488000
Daniel Rioli,FWD,63.9,14,488000
Bryce Gibbs,DEF,60.9,3,487000
Jackson Hately,MID,72.3,6,486000
Will Hoskin-Elliott,FWD,63.6,16,486000
Connor Blakely,MID,64,5,485000
Ryan Burton,DEF,65,6,485000
Charlie Constable,MID,77.5,2,484000
Trent Rivers,DEF,65.3,9,484000
Sam Mayes,DEF,72.1,6,484000
Josh Rotham,DEF,63.1,10,482000
David Cuningham,FWD,63,12,481000
Lachie Schultz,FWD,63,17,481000
Sam Simpson,FWD,71.6,6,481000
Zac Fisher,FWD,66.9,8,480000
Stephen Hill,DEF,62.9,12,480000
Mark O'Connor,DEF,62.9,17,480000
Aidan Corr,DEF,62.9,15,480000
David Astbury,DEF,74,5,480000
Jake Riccardi,FWD,73.8,5,479000
Elliott Himmelberg,FWD,62.6,11,478000
Todd Marshall,FWD,62.6,12,478000
Jeremy Finlayson,FWD,62.5,15,477000
Ben McEvoy,DEF/RUC,62.5,16,477000
Ryan Lester,DEF,62.4,13,476000
Wil Powell,DEF,62.3,15,476000
Dylan Clarke,MID/FWD,52.5,8,475000
Jake Waterman,FWD,64.1,9,475000
James Harmes,DEF,62.1,13,474000
Alex Sexton,FWD,62,14,473000
Tom McDonald,FWD,55.5,9,472000
Cameron Zurhaar,FWD,61.8,16,472000
Jack Madgen,DEF,61.5,11,470000
