Timothy English,78.0,572000,Ruck,Western Bulldogs,7,0.00013636363636363637
Luke McDonald,50.2,431000,Defender,North Melbourne Kangaroos,0,0.00011647331786542924
Brandon Ellis,77.0,629000,Midfield,Gold Coast Suns,0,0.00012241653418124007
Tom Hawkins,67.2,526000,Forward,Geelong Cats,0,0.00012775665399239545
Caleb Daniel,68.2,696000,Defender,Western Bulldogs,0,9.798850574712644e-05
Jared Polec,73.8,654000,Midfield,North Melbourne Kangaroos,0,0.0001128440366972477
Jordan Ridley,74.0,444000,Defender,Essendon Bombers,0,0.00016666666666666666
David Swallow,70.25,652000,Midfield,Gold Coast Suns,1,0.00010774539877300613
Zak Jones,76.5,614000,Midfield,St Kilda Saints,10,0.0001245928338762215
Christian Salem,39.2,665000,Defender,Melbourne Demons,0,5.8947368421052634e-05
Dan Houston,72.6,596000,Defender,Port Adelaide Power,8,0.00012181208053691274
Elliot Yeo,70.2,762000,Midfield,West Coast Eagles,7,9.21259842519685e-05
Brayden Maynard,83.8,570000,Defender,Collingwood Magpies,0,0.00014701754385964912
Sam Docherty,94.0,563000,Defender,Carlton Blues,6,0.0001669626998223801
Jy Simpkin,81.6,496000,Midfield,North Melbourne Kangaroos,0,0.00016451612903225804
Matt Rowell,88.5,270000,Midfield,Gold Coast Suns,14,0.0003277777777777778
Devon Smith,70.0,720000,Midfield,Essendon Bombers,45,9.722222222222222e-05
Nick Haynes,83.0,589000,Defender,Greater Western Sydney Giants,3,0.00014091680814940578
Isaac Heeney,72.8,666000,Midfield,Sydney Swans,0,0.0001093093093093093
Luke Ryan,56.8,594000,Defender,Fremantle Dockers,2,9.562289562289562e-05
Jacob Hopper,64.6,695000,Midfield,Greater Western Sydney Giants,9,9.294964028776978e-05
Harry Perryman,77.2,562000,Midfield,Greater Western Sydney Giants,0,0.00013736654804270463
Brad Ebert,85.4,594000,Forward,Port Adelaide Power,4,0.00014377104377104379
Thomas Liberatore,37.0,564000,Midfield,Western Bulldogs,0,6.560283687943263e-05
Daniel Rich,67.2,653000,Defender,Brisbane Lions,0,0.00010290964777947934
Dominic Sheed,73.0,705000,Midfield,West Coast Eagles,0,0.00010354609929078015
Nicholas Naitanui,69.2,471000,Ruck,West Coast Eagles,1,0.00014692144373673036
James Sicily,60.2,620000,Defender,Hawthorn Hawks,4,9.709677419354839e-05
Liam Duggan,59.2,495000,Defender,West Coast Eagles,0,0.0001195959595959596
Bradley Sheppard,69.2,611000,Defender,West Coast Eagles,0,0.0001132569558101473
Bailey Smith,62.0,513000,Midfield,Western Bulldogs,45,0.00012085769980506822
Rhys Stanley,26.0,603000,Ruck,Geelong Cats,0,4.311774461028192e-05
Jack Steven,30.8,653000,Midfield,Geelong Cats,25,4.716692189892803e-05
Jarrod Berry,75.4,591000,Midfield,Brisbane Lions,1,0.00012758037225042303
Kyle Langford,70.75,524000,Midfield,Essendon Bombers,0,0.00013501908396946566
Luke Shuey,65.2,749000,Midfield,West Coast Eagles,0,8.704939919893191e-05
James Cousins,0.0,544000,Midfield,Hawthorn Hawks,0,0.0
Brandan Parfitt,52.2,536000,Midfield,Geelong Cats,0,9.738805970149254e-05
Brodie Smith,60.2,646000,Defender,Adeliade Crows,45,9.31888544891641e-05
Josh Daicos,73.0,431000,Midfield,Collingwood Magpies,0,0.00016937354988399072
Liam Shiels,57.8,708000,Midfield,Hawthorn Hawks,0,8.163841807909603e-05
Dion Prestia,75.6,738000,Midfield,Richmond Tigers,1,0.00010243902439024389
Chad Wingard,81.2,582000,Midfield,Hawthorn Hawks,18,0.00013951890034364262
Toby Nankervis,40.4,642000,Ruck,Richmond Tigers,0,6.292834890965732e-05
Will Setterfield,50.6,498000,Midfield,Carlton Blues,1,0.00010160642570281125
Joel Selwood,76.0,585000,Midfield,Geelong Cats,4,0.00012991452991452992
Caleb Serong,20.8,256000,Midfield,Fremantle Dockers,5,8.125e-05
Marc Murphy,69.2,712000,Midfield,Carlton Blues,0,9.719101123595506e-05
Jordan Dawson,58.4,614000,Defender,Sydney Swans,16,9.511400651465798e-05
Adam Saad,74.0,499000,Defender,Essendon Bombers,0,0.00014829659318637273
Adam Cerra,58.6,451000,Defender,Fremantle Dockers,5,0.00012993348115299336
