86,Tom Hawkins,Cats,676000 ,526000 ,76,14.4
91,Zachary Merrett,Bombers,884000 ,803000 ,75,9.3
92,Clayton Oliver,Demons,875000 ,786000 ,74,9.4
92,Ben Ainsworth,Suns,592000 ,483000 ,74,15.3
92,Luke Breust,Hawks,526000 ,506000 ,74,14.6
92,Stephen Coniglio,Giants,744000 ,769000 ,74,9.6
92,Tom Barrass,Eagles,428000 ,418000 ,74,17.7
97,Will Hoskin-Elliott,Magpies,486000 ,559000 ,73,13.1
97,Shaun Higgins,Kangaroos,728000 ,707000 ,73,10.3
97,Jake Stringer,Bombers,394000 ,485000 ,73,15.1
97,Max Gawn,Demons,944000 ,826000 ,73,8.8
97,David Swallow,Suns,682000 ,652000 ,73,11.2
102,Kade Simpson,Blues,533000 ,595000 ,72,12.1
102,Callum Mills,Swans,705000 ,559000 ,72,12.9
102,Oliver Florent,Swans,576000 ,514000 ,72,14
102,Will Snelling,Bombers,521000 ,420000 ,72,17.1
106,Alex Keath,Bulldogs,392000 ,498000 ,71,14.3
106,Daniel Lloyd Injured,Giants,450000 ,422000 ,71,16.8
106,Ivan Soldo Injured,Tigers,512000 ,538000 ,71,13.2
106,Lachlan Hunter,Bulldogs,882000 ,732000 ,71,9.7
110,Rory Laird,Crows,763000 ,719000 ,70,9.7
110,Sam Gray,Swans,518000 ,553000 ,70,12.7
110,Devon Smith,Bombers,676000 ,720000 ,70,9.7
110,Josh Daicos,Magpies,664000 ,431000 ,70,16.2
110,Shaun Burgoyne,Hawks,435000 ,525000 ,70,13.3
115,Daniel Rioli,Tigers,488000 ,417000 ,69,16.5
115,Justin Westhoff,Power,452000 ,574000 ,69,12
115,Brandon Ellis,Suns,691000 ,629000 ,69,11
115,Bradley Sheppard,Eagles,672000 ,611000 ,69,11.3
119,Lachie Whitfield Injured,Giants,820000 ,844000 ,68,8.1
119,Reece Conca,Dockers,548000 ,554000 ,68,12.3
119,Patrick Ryder Injured,Saints,575000 ,521000 ,68,13.1
122,John Noble,Magpies,585000 ,400000 ,67,16.8
122,Josh Caddy,Tigers,506000 ,523000 ,67,12.8
122,Tom Lynch,Crows,609000 ,663000 ,67,10.1
122,Bailey Williams,Bulldogs,605000 ,575000 ,67,11.7
126,Jayden Short,Tigers,694000 ,522000 ,66,12.6
126,Lachlan Weller,Suns,621000 ,612000 ,66,10.8
128,Sam Walsh,Blues,739000 ,684000 ,65,9.5
128,Rowan Marshall Injured,Saints,738000 ,736000 ,65,8.8
130,Matt Rowell,Suns,574000 ,270000 ,64,23.7
130,Tom Bellchambers,Bombers,426000 ,531000 ,64,12.1
130,Oliver Hanrahan,Hawks,359000 ,372000 ,64,17.2
130,Steven Motlop,Power,412000 ,479000 ,64,13.4
130,Lachlan Murphy,Crows,418000 ,409000 ,64,15.6
135,Caleb Daniel,Bulldogs,676000 ,696000 ,63,9.1
135,Todd Marshall,Power,478000 ,385000 ,63,16.4
135,Angus Brayshaw Injured,Demons,603000 ,653000 ,63,9.6
135,Xavier Duursma,Power,539000 ,581000 ,63,10.8
135,Trent Cotchin,Tigers,634000 ,525000 ,63,12
135,Luke Dahlhaus,Cats,506000 ,574000 ,63,11
135,Wayne Milera,Crows,446000 ,570000 ,63,11.1
135,Reilly O'Brien,Crows,828000 ,709000 ,63,8.9
135,Thomas Stewart,Cats,736000 ,705000 ,63,8.9
135,Rory Atkins,Crows,510000 ,604000 ,63,10.4
135,Sebastian Ross,Saints,565000 ,700000 ,63,9
146,Zach Tuohy,Cats,627000 ,507000 ,62,12.2
146,Jordan Dawson,Swans,633000 ,614000 ,62,10.1
146,Joel Selwood,Cats,596000 ,585000 ,62,10.6
146,Jack Bowes,Suns,608000 ,531000 ,62,11.7
146,David Zaharakis,Bombers,524000 ,590000 ,62,10.5
146,James Sicily Injured,Hawks,663000 ,620000 ,62,10
146,Heath Shaw,Giants,460000 ,612000 ,62,10.1
146,Harris Andrews,Lions,428000 ,418000 ,62,14.8
146,Trent Dumont,Kangaroos,748000 ,654000 ,62,9.5
155,Jarrod Brander,Eagles,448000 ,217000 ,61,28.1
155,Trent McKenzie,Power,489000 ,390000 ,61,15.6
155,Sam Sturt,Dockers,294000 ,170000 ,61,35.9
155,Jordan De Goey,Magpies,605000 ,626000 ,61,9.7
159,Travis Colyer,Dockers,447000 ,448000 ,60,13.4
159,Jacob Townsend,Bombers,329000 ,266000 ,60,22.6
159,Daniel Rich,Lions,644000 ,653000 ,60,9.2
159,Hugh McCluggage,Lions,708000 ,678000 ,60,8.8
159,Marlion Pickett,Tigers,515000 ,170000 ,60,35.3
159,Mitch Georgiades,Power,399000 ,236000 ,60,25.4
165,Adam Tomlinson,Demons,493000 ,574000 ,59,10.3
165,Noah Answerth Injured,Lions,415000 ,416000 ,59,14.2
165,Jack Gunston Injured,Hawks,583000 ,565000 ,59,10.4
165,Ben Paton Injured,Saints,495000 ,442000 ,59,13.3
165,Josh Dunkley,Bulldogs,741000 ,824000 ,59,7.2
165,Sam Petrevski-Seton,Blues,516000 ,577000 ,59,10.2
165,Kane Lambert,Tigers,598000 ,643000 ,59,9.2
165,Daniel Butler,Saints,575000 ,384000 ,59,15.4
165,Matt Guelfi,Bombers,446000 ,419000 ,59,14.1
165,Ricky Henderson,Hawks,570000 ,717000 ,59,8.2
165,Jack Crisp,Magpies,726000 ,725000 ,59,8.1
165,Tom Cutler,Bombers,576000 ,496000 ,59,11.9
165,Brendon Ah Chee,Eagles,379000 ,384000 ,59,15.4
178,Jackson Nelson,Eagles,556000 ,358000 ,58,16.2
178,Brad Crouch Suspended,Crows,708000 ,801000 ,58,7.2
178,Jamie Cripps,Eagles,499000 ,476000 ,58,12.2
178,Samuel Collins,Suns,442000 ,348000 ,58,16.7
178,Tom Scully,Hawks,443000 ,490000 ,58,11.8
178,Mark O'Connor,Cats,480000 ,439000 ,58,13.2
184,Paul Seedsman,Crows,589000 ,540000 ,57,10.6
184,Alex Witherden,Lions,654000 ,555000 ,57,10.3
184,Lewis Taylor,Swans,521000 ,456000 ,57,12.5
184,Hugh Greenwood,Suns,737000 ,581000 ,57,9.8
184,Sam Lloyd,Bulldogs,425000 ,577000 ,57,9.9
189,Dayne Zorko,Lions,753000 ,775000 ,56,7.2
189,James Harmes,Demons,474000 ,698000 ,56,8
189,Mason Cox,Magpies,381000 ,382000 ,56,14.7
189,Timothy English,Bulldogs,698000 ,572000 ,56,9.8
